start_sample,end_sample,reference_id,file_name
0,80000,1,audio_data1_run1_segment_20241111_133205.csv
16000,96000,1,audio_data1_run1_segment_20241111_133205.csv
208000,288000,1,audio_data1_run1_segment_20241111_133205.csv
